,Group,Point,mean_rank,measures
86,ST051,L0804,200.0,1
116,ST001,U12F14,9.0,1
8,ST030,L0707,136.0,1
481,ST026,R109,167.0,1
638,ST74,L1204,66.0,1
0,ST030,L0606,80.0,2
576,ST020,F0604,28.5,2
577,ST020,F0605,37.5,2
578,ST020,F0704,31.5,2
579,ST020,F0705,25.5,2
580,ST020,R045,27.0,2
581,ST020,R052,32.5,2
582,ST020,R059,43.0,2
583,ST020,R060,27.0,2
584,ST020,R061,11.0,2
585,ST020,R064,43.0,2
586,ST020,R067,34.5,2
587,ST020,R078,21.5,2
588,ST021,F0503,29.5,2
589,ST021,F0505,41.5,2
590,ST021,F0604,39.0,2
591,ST021,F0605,39.0,2
592,ST021,F0704,26.0,2
593,ST021,F0705,17.5,2
594,ST021,R045,22.0,2
595,ST021,R046,28.5,2
596,ST021,R048,29.0,2
575,ST020,F0505,28.5,2
574,ST020,F0503,28.0,2
571,ST019,R064,28.0,2
572,ST019,R067,33.5,2
549,ST018,F0705,29.5,2
550,ST018,F0802,51.0,2
551,ST018,F0903,19.5,2
552,ST018,F0904,17.0,2
553,ST018,R059,22.0,2
554,ST018,R060,24.5,2
555,ST018,R061,34.5,2
556,ST018,R064,9.0,2
557,ST018,R067,89.5,2
558,ST018,R068,73.5,2
559,ST018,R078,26.5,2
560,ST018,R079,9.0,2
561,ST018,R083,23.5,2
562,ST018,R085,28.5,2
563,ST019,F0604,23.5,2
564,ST019,F0605,29.0,2
565,ST019,F0704,14.0,2
566,ST019,F0705,23.5,2
567,ST019,R052,16.5,2
568,ST019,R059,42.5,2
569,ST019,R060,45.0,2
570,ST019,R061,79.5,2
597,ST021,R052,47.5,2
573,ST019,R078,12.5,2
598,ST021,R059,45.5,2
600,ST021,R061,31.0,2
548,ST018,F0704,34.5,2
628,ST023,R052,23.0,2
629,ST023,R059,43.0,2
630,ST029,F0604,15.0,2
631,ST029,F0605,29.0,2
632,ST029,F0903,43.5,2
633,ST029,R059,163.5,2
634,ST029,R064,137.0,2
