,Group,Point,m_distance,rank,measures
3,ST001,R108,9304.765367178608,51.0,2.0
14,ST001,R004,4857.410681298813,53.0,2.0
16,ST001,F1201,9451.50626564914,32.5,2.0
17,ST001,F1202,9232.090307195873,41.0,2.0
21,ST001,F0101,3361.79053810709,60.5,2.0
22,ST001,F0102,3097.680804753762,52.5,2.0
24,ST001,F0104,2757.9784548626053,54.5,2.0
39,ST001,U12F14,11534.852666632394,9.0,1.0
52,ST002,R020,9213.310425704927,12.0,2.0
54,ST002,R024,9075.332647614578,26.5,2.0
58,ST002,R004,7547.509956491751,21.5,2.0
59,ST002,F0101,6216.819245842612,35.5,2.0
60,ST002,F0102,6036.11560488685,29.5,2.0
62,ST002,F0104,3009.7868239988334,40.5,2.0
70,ST002,F0302,9198.789824200281,36.5,2.0
75,ST003,R020,6216.276505260928,18.0,2.0
80,ST003,F0101,9119.688476074318,26.5,2.0
81,ST003,F0102,8908.476613265264,28.0,2.0
83,ST003,F0104,6103.662915038719,15.0,2.0
91,ST003,F0302,6201.781047347212,37.5,2.0
97,ST003,R024,6371.424585742943,34.5,2.0
102,ST003,R004,10527.35062904775,23.5,2.0
103,ST003,R029,9291.352281396506,17.5,2.0
104,ST003,R027,9297.010549744027,31.5,2.0
109,ST004,R020,3211.5384971053545,19.0,2.0
111,ST004,R029,5679.8938522269,77.0,2.0
112,ST004,R028,6460.480559149449,18.5,2.0
113,ST004,R030,6561.627332708671,17.0,2.0
117,ST004,F0302,2484.626691494378,25.5,2.0
126,ST004,R024,3533.1940990395947,62.0,2.0
129,ST005,R030,3893.548112146313,27.0,2.0
130,ST005,R028,3716.8856096116956,37.5,2.0
131,ST005,R029,3002.3999789225195,47.0,2.0
133,ST005,R020,2766.655236762744,33.0,2.0
143,ST005,F0302,2552.7654970438516,26.0,2.0
148,ST005,F0402,5755.08928018252,36.0,2.0
153,ST005,R033,5851.760800319601,40.5,2.0
156,ST005,R024,4287.725761123346,71.0,2.0
160,ST006,R020,3880.9772428476626,17.5,2.0
161,ST006,R027,1671.8901137073642,52.0,2.0
162,ST006,R028,2005.7104636132958,59.0,2.0
163,ST006,R029,1672.6625854256447,37.5,2.0
164,ST006,R030,2319.824744625831,54.0,2.0
165,ST006,R035,5699.526678402207,31.5,2.0
168,ST006,F0302,4614.650519548453,35.5,2.0
173,ST006,F0402,3537.046540802521,46.5,2.0
177,ST006,R038,8334.201925288238,73.5,2.0
179,ST006,R033,3962.894562438529,64.0,2.0
181,ST006,R024,6227.452670609313,53.0,2.0
190,ST007,R035,2112.558751540767,64.5,2.0
192,ST007,R030,2532.7144046010267,49.5,2.0
193,ST007,R028,2248.601613317324,99.5,2.0
194,ST007,R027,3075.017633696583,74.0,2.0
195,ST007,R029,3079.8711043892235,50.0,2.0
196,ST007,F0302,8415.212626825161,33.5,2.0
201,ST007,F0402,3099.5443474228214,75.5,2.0
207,ST007,F0503,8265.1655719463,65.5,2.0
209,ST007,F0505,9646.726535082329,64.5,2.0
210,ST007,R052,11862.546813632614,101.0,2.0
211,ST007,R045,10118.72075154108,99.5,2.0
212,ST007,R038,6285.784361786419,93.0,2.0
213,ST007,R033,4808.508620723456,84.0,2.0
215,ST007,R024,10081.933849164501,44.5,2.0
216,ST007,R046,9327.264716189407,111.0,2.0
217,ST007,R048,9322.056187790036,98.0,2.0
229,ST008,F0104,5364.379112598711,130.5,2.0
232,ST008,F0102,3055.4127800456536,63.5,2.0
233,ST008,F0101,3225.077394679084,53.5,2.0
237,ST008,F1202,5928.264442959364,60.0,2.0
238,ST008,F1201,6152.545216901496,34.5,2.0
248,ST008,U12F14,8332.413513145131,42.5,2.0
250,ST008,R108,6278.194637788836,31.5,2.0
258,ST009,R108,2863.4074480496815,28.5,2.0
261,ST009,R004,6574.544465805408,32.5,2.0
267,ST009,U12F14,4876.585566794053,33.0,2.0
269,ST009,R107,3679.844747345267,53.0,2.0
278,ST009,F0104,8838.18601125875,27.0,2.0
280,ST009,F0101,6304.4434296251375,27.5,2.0
284,ST009,F1202,3226.271566368681,48.5,2.0
293,ST010,R098,6100.427835133466,39.5,2.0
294,ST010,R104,2217.299205398571,158.5,2.0
295,ST010,R103,1938.4023576294676,67.5,2.0
296,ST010,R108,1349.4593760951354,64.0,2.0
299,ST010,R107,992.2680606810319,103.0,2.0
302,ST010,F0104,12846.7635358283,42.5,2.0
312,ST010,U12F14,1304.8276763816452,80.0,2.0
319,ST010,F1104,2743.68288038952,68.5,2.0
342,ST010,R004,10290.88790599503,47.0,2.0
344,ST011,R098,3196.4421555756007,30.5,2.0
349,ST011,R103,2560.3359310774918,38.0,2.0
350,ST011,R104,2758.1496352886343,112.0,2.0
352,ST011,R108,4500.737352447416,69.0,2.0
358,ST011,F1104,3542.7617761859415,16.5,2.0
364,ST011,F1001,8253.517079033541,26.0,2.0
373,ST011,U12F14,3627.3447690119633,64.0,2.0
405,ST012,R104,5025.717913243776,65.5,2.0
406,ST012,R103,4928.3013229099315,19.0,2.0
407,ST012,R098,1151.0060681807718,75.0,2.0
410,ST012,R107,6384.942972410836,34.0,2.0
415,ST012,F1001,5704.049763898472,22.0,2.0
423,ST012,F1104,6676.790461505921,22.5,2.0
428,ST012,U12F14,6781.074798983231,29.0,2.0
457,ST013,R098,3576.9172969847114,24.5,2.0
464,ST013,R103,7780.674414373682,27.0,2.0
465,ST013,R104,7836.019519148333,44.0,2.0
467,ST013,F1104,9286.873064998366,4.5,2.0
473,ST013,F1001,3288.9500346416494,19.0,2.0
474,ST013,F0903,7382.014134792644,23.0,2.0
477,ST013,R083,10240.980433755127,32.5,2.0
508,ST014,R098,6090.468618654624,28.0,4.0
510,ST014,R079,4679.334091846672,39.25,4.0
512,ST014,R103,10424.469399041243,21.5,2.0
513,ST014,R104,10461.85883324687,32.5,2.0
514,ST014,F0802,12127.830833462805,25.5,2.0
521,ST014,F0903,4585.543618173907,44.5,2.0
522,ST014,F0904,3335.2098107901083,31.5,2.0
524,ST014,F1001,3531.8527802845733,12.0,2.0
530,ST014,F1104,12179.97412174952,62.0,2.0
533,ST014,R083,7372.225187772676,26.0,2.0
534,ST014,R078,11032.867218714613,19.5,2.0
559,ST014,U08F11,12688.624838798463,23.0,2.0
564,ST015,R079,2204.239854820125,57.5,2.0
569,ST015,F0904,3112.9327419347524,18.5,2.0
570,ST015,F0903,2868.1494494169983,15.0,2.0
576,ST015,F0802,8722.300417424867,24.0,2.0
582,ST015,R085,5745.6193483951965,25.5,2.0
583,ST015,R083,4664.010742852675,41.5,2.0
584,ST015,R078,7804.092563273202,52.5,2.0
585,ST015,R073,10401.427009197923,35.5,2.0
590,ST015,U08F11,9373.204030018458,15.0,2.0
621,ST016,R079,2689.3170443855765,34.0,2.0
625,ST016,R068,5861.270845472184,30.0,2.0
628,ST016,F0702,12037.434670642988,15.0,2.0
