,Group,Point,mean_rank,measures
0,ST030,L0606,80.0,2
1,ST030,L0608,87.5,2
2,ST030,L0609,80.5,2
3,ST030,L0610,74.0,2
4,ST030,L0611,70.0,2
5,ST030,L0703,145.5,2
6,ST030,L0704,191.5,2
7,ST030,L0706,199.5,2
8,ST030,L0707,136.0,1
9,ST030,L0708,112.5,2
10,ST030,L0726,38.5,2
11,ST60,F0802,49.0,2
12,ST60,L0411,25.5,2
13,ST60,L0606,25.5,2
14,ST60,L0608,52.0,2
15,ST60,L0609,33.0,2
16,ST60,L0610,42.5,2
17,ST60,L0611,38.0,2
18,ST60,L0703,34.5,2
19,ST60,L0704,41.5,2
20,ST60,L0706,88.5,2
21,ST60,L0707,44.0,2
22,ST60,L0708,88.0,2
23,ST60,L0726,87.0,2
24,ST60,R073,157.0,2
25,ST60,R079,36.5,2
26,ST57,F0802,11.0,2
27,ST57,L0606,32.5,2
28,ST57,L0607,10.0,2
29,ST57,L0608,68.5,2
30,ST57,L0609,53.0,2
31,ST57,L0610,81.0,2
32,ST57,L0611,70.5,2
33,ST57,L0612,29.0,2
34,ST57,L0613,27.5,2
35,ST57,L0615,31.5,2
36,ST57,L0616,26.5,2
37,ST57,L0703,25.5,2
38,ST57,L0704,25.5,2
39,ST57,L0706,57.5,2
40,ST57,L0707,18.5,2
41,ST57,L0708,21.0,2
42,ST57,L0726,46.5,2
43,ST57,R073,33.0,2
44,ST89,L0729,48.5,2
45,ST89,L0730,73.0,2
46,ST89,L0738,75.5,2
47,ST89,L0742,51.0,2
48,ST89,L0803,73.0,2
49,ST89,L0804,65.0,2
50,ST89,L0806,68.0,2
51,ST89,L0807,68.5,2
52,ST89,L0808,63.0,2
53,ST89,L0820,39.0,2
54,ST89,L0821,48.0,2
55,ST89,L0824,49.0,2
56,ST90,L0729,90.5,2
57,ST90,L0730,83.5,2
58,ST90,L0738,74.0,2
59,ST90,L0742,49.0,2
60,ST90,L0803,58.5,2
61,ST90,L0804,69.5,2
62,ST90,L0806,86.5,2
63,ST90,L0807,64.0,2
64,ST90,L0820,41.0,2
65,ST90,L0821,33.5,2
66,ST045,L0729,53.5,2
67,ST045,L0730,59.0,2
68,ST045,L0733,35.5,2
69,ST045,L0742,109.5,2
70,ST045,L0803,119.5,2
71,ST045,L0804,179.0,2
72,ST045,L0806,185.5,2
73,ST045,L0807,118.5,2
74,ST045,L0808,58.0,2
75,ST045,L0820,27.0,2
76,ST045,L0821,30.5,2
77,ST045,L0824,27.0,2
78,ST047,L0733,36.0,2
79,ST047,L0803,47.0,2
80,ST047,L0804,94.0,2
81,ST047,L0806,89.5,2
82,ST051,L0733,110.5,2
83,ST051,L0738,81.5,2
84,ST051,L0741,118.0,2
85,ST051,L0803,172.5,2
86,ST051,L0804,200.0,1
87,ST051,L0806,185.5,2
88,ST051,L0807,167.5,2
89,ST051,L0808,119.5,2
90,ST051,L0820,161.5,2
91,ST051,L0821,125.5,2
92,ST051,L0822,92.0,2
93,ST051,L0828,70.0,2
94,ST61,L0742,86.5,2
95,ST61,L0803,77.0,2
96,ST61,L0804,81.5,2
97,ST61,L0808,46.0,2
98,ST61,R079,46.5,2
99,ST61,R083,41.5,2
100,ST63,L0742,90.0,2
101,ST63,L0803,127.5,2
102,ST63,L0804,135.0,2
103,ST63,L0806,103.0,2
104,ST63,L0807,93.0,2
105,ST63,L0808,59.0,2
106,ST63,R079,38.0,2
107,ST63,R083,28.5,2
108,ST001,F0101,60.5,2
109,ST001,F0102,52.5,2
110,ST001,F0104,54.5,2
111,ST001,F1201,32.5,2
112,ST001,F1202,41.0,2
113,ST001,R004,53.0,2
114,ST001,R108,51.0,2
115,ST001,R109,44.5,2
116,ST001,R1114,40.5,2
117,ST001,U12F14,9.0,1
118,ST002,F0101,35.5,2
119,ST002,F0102,29.5,2
120,ST002,F0104,40.5,2
121,ST002,F0302,36.5,2
122,ST002,R004,21.5,2
123,ST002,R020,12.0,2
124,ST002,R024,26.5,2
125,ST002,R109,44.5,2
126,ST002,R1114,23.5,2
127,ST003,F0101,26.5,2
128,ST003,F0102,28.0,2
129,ST003,F0104,15.0,2
130,ST003,F0302,37.5,2
131,ST003,R004,23.5,2
132,ST003,R020,18.0,2
133,ST003,R024,34.5,2
134,ST003,R027,31.5,2
135,ST003,R029,17.5,2
136,ST003,R109,53.5,2
137,ST008,F0101,53.5,2
138,ST008,F0102,63.5,2
139,ST008,F0104,130.5,2
140,ST008,F1201,34.5,2
141,ST008,F1202,60.0,2
142,ST008,R108,31.5,2
143,ST008,R109,43.5,2
144,ST008,R1114,16.5,2
145,ST008,U12F14,42.5,2
146,ST009,F0101,27.5,2
